0.648132	-0.451858
0.646411	-0.446113
0.642019	-0.420508
0.642019	-0.412014
0.639854	-0.400004
0.634676	-0.349321
0.635119	-0.354001
0.630916	-0.313704
0.630475	-0.308244
0.627592	-0.270545
0.625087	-0.223433
0.622837	-0.198085
0.622837	-0.198085
0.453417	-0.124114
0.453417	-0.124114
0.453422	-0.124130
0.453422	-0.124130
0.447467	-0.109142
0.447467	-0.109142
0.431105	-0.013287
0.429178	0.018180
0.423184	0.067833
0.423184	0.078510
0.417611	0.134688
0.415728	0.159229
0.257743	0.242167
0.258866	0.242328
0.257743	0.242167
0.258866	0.242328
0.240442	0.280074
0.237587	0.294854
0.219947	0.402123
0.204825	0.516495
0.194298	0.593857
0.190807	0.621444
0.084090	0.669749
0.068862	0.680485
0.063014	0.691163
0.050706	0.724133
0.019201	0.850555
